"","matches","worst_case","most_parts","expected","entropy"
"1","ccccc","arise","trace","raise","raise"
"2","cccci","NA",NA,NA,NA
"3","ccccn","NA","rebut",NA,NA
"4","cccic","NA",NA,NA,NA
"5","cccii","NA",NA,NA,NA
"6","cccin","NA",NA,NA,NA
"7","cccnc","NA","trade",NA,NA
"8","cccni","NA",NA,NA,NA
"9","cccnn","NA","islet","rainy","rainy"
"10","ccicc","NA",NA,NA,NA
"11","ccici","NA",NA,NA,NA
"12","ccicn","NA",NA,NA,NA
"13","cciic","NA",NA,NA,NA
"14","cciii","NA",NA,NA,NA
"15","cciin","NA",NA,NA,NA
"16","ccinc","NA",NA,NA,NA
"17","ccini","NA","rebut",NA,NA
"18","ccinn","NA","blush","pound","pound"
"19","ccncc","arose","cigar",NA,NA
"20","ccnci","NA",NA,NA,NA
"21","ccncn","artsy","cigar",NA,NA
"22","ccnic","NA",NA,NA,NA
"23","ccnii","NA",NA,NA,NA
"24","ccnin","arson",NA,"raspy","raspy"
"25","ccnnc","argue","piety","range","range"
"26","ccnni","arena","cigar","marry","marry"
"27","ccnnn","model","plush","today","today"
"28","ciccc","NA",NA,NA,NA
"29","cicci","NA",NA,NA,NA
"30","ciccn","NA",NA,NA,NA
"31","cicic","NA",NA,NA,NA
"32","cicii","NA",NA,NA,NA
"33","cicin","NA",NA,NA,NA
"34","cicnc","afire",NA,NA,NA
"35","cicni","NA","teary",NA,NA
"36","cicnn","NA","tiara",NA,NA
"37","ciicc","NA",NA,NA,NA
"38","ciici","NA",NA,NA,NA
"39","ciicn","NA",NA,NA,NA
"40","ciiic","NA",NA,NA,NA
"41","ciiii","NA",NA,NA,NA
"42","ciiin","NA",NA,NA,NA
"43","ciinc","NA",NA,NA,NA
"44","ciini","aider","karma",NA,NA
"45","ciinn","acrid","sissy","rival","rival"
"46","cincc","NA",NA,NA,NA
"47","cinci","NA",NA,NA,NA
"48","cincn","NA","torch","roast","roast"
"49","cinic","NA",NA,NA,NA
"50","cinii","NA",NA,NA,NA
"51","cinin","NA",NA,NA,NA
"52","cinnc","evade","serve",NA,NA
"53","cinni","golem","humor","lymph","lymph"
"54","cinnn","thorn","humor","humph","humph"
"55","cnccc","NA",NA,NA,NA
"56","cncci","NA","teach",NA,NA
"57","cnccn","amiss",NA,NA,NA
"58","cncic","aside",NA,NA,NA
"59","cncii","NA",NA,NA,NA
"60","cncin","NA",NA,NA,NA
"61","cncnc","knoll","tease",NA,NA
"62","cncni","alien",NA,"reign","reign"
"63","cncnn","colon","awake","rhino","rhino"
"64","cnicc","NA",NA,"rinse","rinse"
"65","cnici","NA",NA,NA,NA
"66","cnicn","NA",NA,NA,NA
"67","cniic","aisle",NA,NA,NA
"68","cniii","NA",NA,"cigar","cigar"
"69","cniin","NA","cigar","risky","risky"
"70","cninc","NA","rebut","cigar","cigar"
"71","cnini","NA","awake","tapir","tapir"
"72","cninn","stand","nobly","model","model"
"73","cnncc","rebut","twice","rebut","rebut"
"74","cnnci","NA",NA,NA,NA
"75","cnncn","heath","cigar","roost","roost"
"76","cnnic","NA",NA,NA,NA
"77","cnnii","heath",NA,"rebut","rebut"
"78","cnnin","cigar","pound","rusty","rusty"
"79","cnnnc","globe","shell","stout","stout"
"80","cnnni","unfed","needy","could","could"
"81","cnnnn","flout","lying","outdo","outdo"
"82","icccc","NA",NA,NA,NA
"83","iccci","NA",NA,NA,NA
"84","icccn","NA",NA,NA,NA
"85","iccic","NA","crate",NA,NA
"86","iccii","NA",NA,NA,NA
"87","iccin","NA","craft",NA,NA
"88","iccnc","NA","cigar",NA,NA
"89","iccni","NA",NA,NA,NA
"90","iccnn","bleed","dwarf","unfed","unfed"
"91","icicc","NA",NA,NA,NA
"92","icici","NA",NA,NA,NA
"93","icicn","NA",NA,NA,NA
"94","iciic","NA",NA,NA,NA
"95","iciii","NA",NA,NA,NA
"96","iciin","NA",NA,NA,NA
"97","icinc","irate",NA,NA,NA
"98","icini","NA","great",NA,NA
"99","icinn","digit","artsy","rebut","rebut"
"100","icncc","erase",NA,"parse","parse"
"101","icnci","NA","erect",NA,NA
"102","icncn","bench",NA,"humph","humph"
"103","icnic","NA",NA,NA,NA
"104","icnii","NA","sissy","focal","focal"
"105","icnin","NA","rebut","rebut","rebut"
"106","icnnc","cigar","quiet","focal","focal"
"107","icnni","dutch","blush","empty","empty"
"108","icnnn","count","feign","tempo","cloth"
"109","iiccc","raise",NA,"arise","arise"
"110","iicci","NA","react",NA,NA
"111","iiccn","NA",NA,NA,NA
"112","iicic","NA",NA,NA,NA
"113","iicii","NA",NA,NA,NA
"114","iicin","NA","chart",NA,NA
"115","iicnc","NA","stare","afire","afire"
"116","iicni","NA","heart",NA,NA
"117","iicnn","found","skimp","bleed","bleed"
"118","iiicc","NA",NA,NA,NA
"119","iiici","NA",NA,NA,NA
"120","iiicn","NA",NA,NA,NA
"121","iiiic","NA",NA,NA,NA
"122","iiiii","NA","cater",NA,NA
"123","iiiin","stair","cigar","stair","stair"
"124","iiinc","NA",NA,"irate","irate"
"125","iiini","NA","wheel","aider","aider"
"126","iiinn","radar","worry","gland","gland"
"127","iincc","parse",NA,"awake","awake"
"128","iinci","NA","retch",NA,NA
"129","iincn","humph",NA,"butch","butch"
"130","iinic","chant",NA,"chant","chant"
"131","iinii","whelp","recut","humph","humph"
